time_s,fz_N,velocity_mps,state,surface
6.6,-5.8697,0.0,CONTACT,MIR
6.65,-6.0412,0.0,CONTACT,MIR
6.7,-6.2909,0.0,CONTACT,MIR
6.75,-6.1998,0.0,CONTACT,MIR
6.8,-5.934,0.1978,CONTACT,MIR
6.85,-5.7895,0.0,CONTACT,MIR
6.9,-5.5578,0.0,CONTACT,MIR
6.95,-5.3744,0.0,CONTACT,MIR
7.0,-5.8743,0.0,CONTACT,MIR
7.05,-6.1551,0.0,CONTACT,MIR
7.1,-6.3836,0.0,CONTACT,MIR
7.15,-5.9036,0.0,CONTACT,MIR
7.2,-6.1198,0.0,CONTACT,MIR
7.25,-6.0402,0.1987,CONTACT,MIR
7.3,-6.1117,0.0,CONTACT,MIR
7.35,-6.0174,0.0,CONTACT,MIR
7.4,-5.776,0.0,CONTACT,MIR
7.45,-5.9578,0.0,CONTACT,MIR
7.5,-6.021,0.0,CONTACT,MIR
7.55,-6.1964,0.0,CONTACT,MIR
7.6,-6.3242,0.0,CONTACT,MIR
7.65,-6.0865,0.0,CONTACT,MIR
7.7,-6.0,0.2,CONTACT,MIR
7.75,-5.616,0.0,CONTACT,MIR
7.8,-5.9435,0.0,CONTACT,MIR
7.85,-5.7731,0.0,CONTACT,MIR
7.9,-6.0695,0.0,CONTACT,MIR
7.95,-6.2066,0.0,CONTACT,MIR
8.0,-6.1626,0.0,CONTACT,MIR
8.05,-6.1146,0.0,CONTACT,MIR
8.1,-5.5439,0.1848,CONTACT,MIR
8.15,-6.1567,0.0,CONTACT,MIR
8.2,-5.8247,0.0,CONTACT,MIR
8.25,-6.173,0.0,CONTACT,MIR
8.3,-5.8061,0.0,CONTACT,MIR
8.35,-5.9154,0.0,CONTACT,MIR
8.4,-6.0237,0.0,CONTACT,MIR
8.45,-6.0006,0.0,CONTACT,MIR
8.5,-6.1234,0.1959,CONTACT,MIR
8.55,-5.9022,0.0,CONTACT,MIR
8.6,-6.0825,0.0,CONTACT,MIR
8.65,-6.2366,0.0,CONTACT,MIR
8.7,-6.2471,0.0,CONTACT,MIR
8.75,-5.9569,0.0,CONTACT,MIR
8.8,-5.6756,0.0,CONTACT,MIR
8.85,-5.9595,0.1986,CONTACT,MIR
8.9,-6.0128,0.0,CONTACT,MIR
8.95,-5.9319,0.0,CONTACT,MIR
9.0,-5.7278,0.0,CONTACT,MIR
9.05,-5.9452,0.0,CONTACT,MIR
9.1,-6.0712,0.0,CONTACT,MIR
9.15,-5.7678,0.0,CONTACT,MIR
9.2,-5.9033,0.1968,CONTACT,MIR
9.25,-5.7075,0.0,CONTACT,MIR
9.3,-5.978,0.0,CONTACT,MIR
9.35,-6.2595,0.0,CONTACT,MIR
9.4,-6.2883,0.0,CONTACT,MIR
9.45,-5.6845,0.0,CONTACT,MIR
9.5,-5.6699,0.0,CONTACT,MIR
9.55,-6.0506,0.1983,CONTACT,MIR
9.6,-6.1058,0.0,CONTACT,MIR
9.65,-5.7368,0.0,CONTACT,MIR
9.7,-6.2505,0.0,CONTACT,MIR
9.75,-6.2081,0.0,CONTACT,MIR
9.8,-5.9005,0.0,CONTACT,MIR
9.85,-6.108,0.1964,CONTACT,MIR
9.9,-6.0178,0.0,CONTACT,MIR
9.95,-6.0494,0.0,CONTACT,MIR
10.0,-5.9492,0.0,CONTACT,MIR
